Season,Player,Date,Home/Away,Opp,Win/Loss,FG%,FT,FTA,FT%,TS%,eFG%,DRtg,,
2019-20,CJ McCollum,12/18/19,Home,GSW,W,0.579,5,6,0.833,0.693,0.658,114,,
2019-20,CJ McCollum,12/20/19,Home,ORL,W,0.6,3,3,1,0.727,0.7,101,,
2019-20,CJ McCollum,12/21/19,Home,MIN,W,0.348,5,7,0.714,0.498,0.457,105,,
2019-20,CJ McCollum,12/23/19,Home,NOP,L,0.409,0,0,,0.455,0.455,108,,
2019-20,CJ McCollum,12/26/19,Away,UTA,L,0.435,2,2,1,0.523,0.5,128,,
2019-20,CJ McCollum,12/28/19,Home,LAL,L,0.5,0,0,,0.563,0.563,134,,
2019-20,CJ McCollum,12/30/19,Home,PHO,L,0.524,2,2,1,0.571,0.548,128,,
2019-20,CJ McCollum,1/1/20,Away,NYK,L,0.375,2,4,0.5,0.479,0.469,123,,
2019-20,CJ McCollum,1/3/20,Away,WAS,W,0.556,2,2,1,0.636,0.611,113,,
2019-20,CJ McCollum,1/5/20,Away,MIA,L,,,,,,,,,
2019-20,CJ McCollum,1/7/20,Away,TOR,W,0.263,0,1,0,0.257,0.263,108,,
2019-20,CJ McCollum,1/9/20,Away,MIN,L,0.5,0,0,,0.625,0.625,124,,
2019-20,CJ McCollum,1/11/20,Home,MIL,L,0.368,3,5,0.6,0.472,0.447,114,,
2019-20,CJ McCollum,1/13/20,Home,CHO,W,0.5,0,0,,0.614,0.614,123,,
2019-20,CJ McCollum,1/15/20,Away,HOU,W,0.5,3,4,0.75,0.607,0.583,106,,
2019-20,CJ McCollum,1/17/20,Away,DAL,L,0.333,0,0,,0.333,0.333,130,,
2019-20,CJ McCollum,1/18/20,Away,OKC,L,,,,,,,,,
2019-20,CJ McCollum,1/20/20,Home,GSW,W,,,,,,,,,
2019-20,CJ McCollum,1/23/20,Home,DAL,L,,,,,,,,,
2019-20,CJ McCollum,1/26/20,Home,IND,W,0.524,0,0,,0.667,0.667,134,,
2019-20,CJ McCollum,1/29/20,Home,HOU,W,0.474,3,7,0.429,0.498,0.5,104,,
2019-20,CJ McCollum,1/31/20,Away,LAL,W,0.364,1,2,0.5,0.415,0.409,119,,
2019-20,CJ McCollum,2/1/20,Home,UTA,W,0.429,0,0,,0.5,0.5,115,,
2019-20,CJ McCollum,2/4/20,Away,DEN,L,0.444,1,1,1,0.542,0.528,134,,
2019-20,CJ McCollum,2/6/20,Home,SAS,W,0.421,1,2,0.5,0.478,0.474,122,,
2019-20,CJ McCollum,2/7/20,Away,UTA,L,0.435,2,4,0.5,0.545,0.543,118,,
2019-20,CJ McCollum,2/9/20,Home,MIA,W,0.333,0,1,0,0.421,0.433,117,,
2019-20,CJ McCollum,2/11/20,Away,NOP,L,0.412,2,2,1,0.559,0.529,139,,
2019-20,CJ McCollum,2/12/20,Away,MEM,L,0.36,2,2,1,0.444,0.42,115,,
2019-20,CJ McCollum,2/21/20,Home,NOP,L,0.455,4,4,1,0.568,0.523,128,,
2019-20,CJ McCollum,2/23/20,Home,DET,W,0.5,5,8,0.625,0.612,0.6,114,,
2019-20,CJ McCollum,2/25/20,Home,BOS,L,0.417,3,6,0.5,0.526,0.521,118,,
