Season,Team,Date,Home/Away,Opp,W/L,FG%,FT,FTA,FT%,DRtg,FTr,TS%,eFG%,FT/FGA
2018-19,GSW,11/5/18,Home,MEM,W,0.506,22,23,0.957,106.3,0.284,0.642,0.586,0.272
2018-19,IND,11/5/18,Home,HOU,L,0.44,20,30,0.667,105,0.4,0.533,0.493,0.267
2018-19,MIL,11/6/18,Away,POR,L,0.435,7,8,0.875,126.1,0.087,0.539,0.522,0.076
2018-19,SAS,11/7/18,Away,MIA,L,0.33,13,14,0.929,97.9,0.149,0.439,0.399,0.138
2018-19,IND,11/7/18,Home,PHI,L,0.394,12,17,0.706,101.6,0.181,0.463,0.436,0.128
2018-19,GSW,11/8/18,Home,MIL,L,0.483,17,22,0.773,126.2,0.253,0.574,0.54,0.195
2018-19,MIL,11/8/18,Away,GSW,W,0.515,21,27,0.778,104.5,0.267,0.594,0.559,0.208
2018-19,IND,11/9/18,Away,MIA,W,0.544,17,29,0.586,99.2,0.367,0.599,0.589,0.215
2018-19,GSW,11/10/18,Home,BRK,W,0.554,17,21,0.81,108.3,0.253,0.629,0.596,0.205
2018-19,SAS,11/10/18,Home,HOU,W,0.446,20,27,0.741,97.3,0.365,0.559,0.514,0.27
2018-19,MIL,11/10/18,Away,LAC,L,0.448,16,23,0.696,111.2,0.219,0.547,0.524,0.152
2018-19,MIL,11/11/18,Away,DEN,W,0.571,8,13,0.615,119.1,0.155,0.674,0.673,0.095
2018-19,IND,11/11/18,Away,HOU,L,0.462,20,26,0.769,122.2,0.333,0.576,0.532,0.256
2018-19,GSW,11/12/18,Away,LAC,L,0.468,16,23,0.696,109.3,0.245,0.557,0.532,0.17
